University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employer Activity Rank,Desirability Rank,Student View Rank,Affordability Rank,Student Mix Rank,Rankings Rank,Employer Activity Score,Desirability Score,Student View Score,Affordability Score,Student Mix Score,Rankings Score
Medellin,/university-rankings-articles/qs-best-student-cities/medellin,,Colombia,,,47.5,139,,False,False,=44,144,138,26,157,136,75.1,22.7,33,68.2,16.9,18.4
Bratislava,/university-rankings-articles/qs-best-student-cities/bratislava,,Slovakia,,,47.4,140,,False,False,146,103,127,67,89,153,28.4,46.9,40,51.9,62.2,4.3
Bucharest,/university-rankings-articles/qs-best-student-cities/bucharest,,Romania,,,46.9,141,,False,False,129,109,130,15,=143,157,37.8,43.2,39.2,73.4,34.5,3.4
Poznań,/university-rankings-articles/qs-best-student-cities/poznań,,Poland,,,46.8,142,,False,False,147,111,148,20,98,145,27.2,41.6,22.7,70.6,57.4,11.4
Macau,/university-rankings-articles/qs-best-student-cities/macau,,Macau SAR,,,46.4,143,,False,False,148,154,121,116,=52,116,25,17.7,43.1,36.4,78.3,28.3
Kaunas,/university-rankings-articles/qs-best-student-cities/kaunas,,Lithuania,,,46.3,144,,False,False,136,=128,115,80,74,155,32.8,30.7,45.9,46.3,68.7,3.9
Surabaya,/university-rankings-articles/qs-best-student-cities/surabaya,,Indonesia,,,45.9,145,,False,False,97,=159,157,4,142,126,54.9,10.3,14.2,87.8,36,23.3
Tianjin,/university-rankings-articles/qs-best-student-cities/tianjin,,China (Mainland),,,45.2,146,,False,False,155,=121,122,40,141,106,17.9,33.8,41.8,60.8,37.3,31.5
Bangalore,/university-rankings-articles/qs-best-student-cities/bangalore,,India,,,45,147,,False,False,125,=146,93,35,159,114,39.7,22.3,56.7,62.2,12.3,29
Gwangju,/university-rankings-articles/qs-best-student-cities/gwangju,,South Korea,,,44.4,148,,False,False,153,98,155,16,132,133,20.5,50,15.1,72.3,41.4,19.6
Dhaka,/university-rankings-articles/qs-best-student-cities/dhaka,,Bangladesh,,,44.1,149,,False,False,74,=159,=140,49,160,75,65.1,10.3,31.7,59.4,8.1,43.1
Xi'an,/university-rankings-articles/qs-best-student-cities/xi'an,,China (Mainland),,,44.1,150,,False,False,=140,=128,=96,=124,=143,107,31.1,30.7,55.6,34.4,34.5,31.1
Albany,/university-rankings-articles/qs-best-student-cities/albany,,United States,,,42.9,151,,False,False,158,90,120,123,=104,=143,14.9,52.5,43.2,34.8,53.8,12.4
Bilbao,/university-rankings-articles/qs-best-student-cities/bilbao,,Spain,,,42.3,152,,False,False,159,97,145,=37,113,151,14,50.1,25.1,61.8,51.4,6.2
Chennai,/university-rankings-articles/qs-best-student-cities/chennai,,India,,,43,153,,False,False,106,=146,151,60,153,=85,49.2,22.3,21,55.6,24.9,39.3
