University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Faculty Staff with PhD Rank,International Research Network Rank,Papers per Faculty Rank,Citations per Paper Rank,International Faculty Ratio Rank,International Students Ratio Rank,Academic Reputation Rank,Web Impact Rank,Faculty Student Ratio Rank,Employer Reputation Rank,Faculty Staff with PhD Score,International Research Network Score,Papers per Faculty Score,Citations per Paper Score,International Faculty Ratio Score,International Students Ratio Score,Academic Reputation Score,Web Impact Score,Faculty Student Ratio Score,Employer Reputation Score
University of Nizwa,/universities/university-nizwa,Asia,Oman,Nizwa,https://www.topuniversities.com/sites/default/files/university-of-nizwa_592560cf2aeae70239af5467_small.jpg,n/a,68,,False,False,101+,81,56,24,30,71,51+,63,41,51+,1.4,25.5,33.4,77,88.7,17.6,13.5,32.4,54.6,22.5
University of Sfax,/universities/university-sfax,Africa,Tunisia,Sfax,https://www.topuniversities.com/sites/default/files/220129103435am476559University-Of-Sfax-Logo-VV-48x48.jpg,n/a,69,,False,False,43,44,34,101+,101+,97,51+,101+,29,51+,69.9,59.9,48,15.6,1.1,8.2,24.7,1.9,73.3,6.7
Zagazig University,/universities/zagazig-university,Africa,Egypt,Zagazig,https://www.topuniversities.com/sites/default/files/zagazig-university_592560cf2aeae70239af4f43_small.jpg,n/a,70,,False,False,9,20,101+,49,101+,101+,51+,43,101+,51+,99.2,84.4,15.7,44.3,1.2,6,28.3,52.3,2.5,13.1
"Arab Academy for Science, Technology and Maritime Transport (AASTMT)  ",/universities/arab-academy-science-technology-maritime-transport-aastmt,Africa,Egypt,Alexandria,https://www.topuniversities.com/sites/default/files/arab-academy-for-science-technology-and-maritime-transport-aastmt-_592560cf2aeae70239af59f5_small.jpg,n/a,71,5,False,False,101+,101+,101+,101+,101+,49,51+,54,44,51+,1.1,15.4,8.1,6,4.9,30.6,26.9,40.1,53.2,24.5
Birzeit university,/universities/birzeit-university,Asia,Palestinian Territories,Birzeit,https://www.topuniversities.com/sites/default/files/birzeit-university_592560cf2aeae70239af546c_small.jpg,n/a,72,,False,False,101+,88,101+,6,97,87,51+,30,101+,51+,3.1,22.2,11.2,98.6,8.3,10.4,26.4,66.1,5.4,40.6
Effat University,/universities/effat-university,Asia,Saudi Arabia,Jeddah,https://www.topuniversities.com/sites/default/files/effat-university_23395_small.jpg,n/a,73,,False,False,82,101+,9,59,17,18,51+,101+,51,51+,24.7,15.2,96.8,39.2,100,74.2,8.2,11.5,46,8.2
German University in Cairo,/universities/german-university-cairo,Africa,Egypt,Cairo,https://www.topuniversities.com/sites/default/files/german-university-in-cairo_592560e29988f300e232125e_small.jpg,n/a,74,,False,False,101+,101+,90,101+,98,101+,51+,85,101+,44,1,8.9,19.8,6.5,8.3,1.7,35.3,24.8,9.9,50.4
Mustansiriyah University,/universities/mustansiriyah-university,Asia,Iraq,Baghdad,https://www.topuniversities.com/sites/default/files/-mustansiriyah-university_592560cf2aeae70239af5833_small.jpg,n/a,75,,False,False,101+,101+,101+,101+,78,90,51+,93,11,51+,2.2,13,10.3,1,16.8,9.7,13.2,22.2,95.2,19.8
Notre Dame University-Louaize NDU,/universities/notre-dame-university-louaize-ndu,Asia,Lebanon,Koura,https://www.topuniversities.com/sites/default/files/notre-dame-university-louaize-ndu_5af915a3cb4de7546e1a835d_small.jpg,n/a,76,,False,False,80,101+,79,101+,62,54,51+,101+,56,37,29.3,5.1,22.3,18.4,38.2,27.6,17,14.6,41.6,56.1
Prince Sattam Bin Abdulaziz University,/universities/prince-sattam-bin-abdulaziz-university,Asia,Saudi Arabia,Al-Kharj,https://www.topuniversities.com/sites/default/files/230214120217pm975130PSAU-Logo-48x48.jpg,n/a,77,,False,False,101+,11,52,71,44,101+,51+,68,55,51+,1.7,94.4,36.6,32.5,57.6,4.9,12.4,31.2,41.9,2.9
Taif University,/universities/taif-university,Asia,Saudi Arabia,Ta'if,https://www.topuniversities.com/sites/default/files/taif-university_592560cf2aeae70239af5462_small.jpg,n/a,78,,False,False,14,19,32,101+,32,101+,51+,36,101+,51+,96.2,84.5,51,8.4,85.5,7,15,63.5,6,3.4
Tanta University ,/universities/tanta-university,Africa,Egypt,Tanta,https://www.topuniversities.com/sites/default/files/tanta-university-_592560cf2aeae70239af4f3f_small.jpg,n/a,79,,False,False,101+,17,101+,45,101+,101+,51+,50,101+,51+,6.6,89.3,10.6,49.1,1.5,4.8,26.4,42.2,4.2,15.9
University of Bisha,/universities/university-bisha,Asia,Saudi Arabia,Bisha City,https://www.topuniversities.com/sites/default/files/220206075110am217721Logo-48x48.jpg,n/a,80,,False,False,39,101+,101+,83,62,87,51+,101+,74,35,71.7,8.1,6.8,27.6,39.6,10.7,5.4,10.6,31.8,58.1
University of Dubai,/universities/university-dubai,Asia,United Arab Emirates,Dubai,https://www.topuniversities.com/sites/default/files/university-of-dubai_592560df9988f300e2320a7d_small.jpg,n/a,81,,False,False,63,101+,19,60,8,28,51+,101+,70,51+,47.7,3.1,84.4,36.3,100,47.3,15.3,12.3,33.7,18.8
University of Carthage,/universities/university-carthage,Africa,Tunisia,Tunis,https://www.topuniversities.com/sites/default/files/universit-de-carthage_592560e39988f300e2321663_small.jpg,n/a,82,,False,False,101+,21,50,101+,101+,101+,51+,101+,28,n/a,1.9,83.4,37.3,18.1,1.6,2.3,9.4,6.5,73.6,n/a
