University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Faculty Student Ratio Rank,Academic Reputation Rank,Sustainability Rank,Employer Reputation Rank,International Student Diversity Rank,Papers per Faculty Rank,Citations per Paper Rank,Inbound Exchange Students Rank,International Faculty Ratio Rank,Outbound Exchange Students Rank,International Research Network Rank,Employment Outcomes Rank,Faculty Student Ratio Score,Academic Reputation Score,Sustainability Score,Employer Reputation Score,International Student Diversity Score,Papers per Faculty Score,Citations per Paper Score,Inbound Exchange Students Score,International Faculty Ratio Score,Outbound Exchange Students Score,International Research Network Score,Employment Outcomes Score
"National Technical University  ""Kharkiv Polytechnic Institute""",/universities/national-technical-university-kharkiv-polytechnic-institute,Europe,Ukraine,Kharkiv,https://www.topuniversities.com/sites/default/files/national-technical-university-kharkiv-polytechnic-institute_592560cf2aeae70239af56a1_small.jpg,16.8,416,,False,False,80,251+,n/a,234,268,301+,301+,301+,301+,301+,301+,301+,78.8,14.6,n/a,31.7,26.4,6.8,1,1,1.9,11.5,2.4,14
Birmingham City University ,/universities/birmingham-city-university,Europe,United Kingdom,Birmingham,https://www.topuniversities.com/sites/default/files/birmingham-city-university-_592560cf2aeae70239af4af8_small.jpg,16.7,417,,False,False,301+,251+,301+,251+,143,301+,301+,301+,198,301+,301+,301+,17.5,13,5.3,16.7,51.6,6.3,17.9,3,40.1,3.2,7,19.6
Leeds Beckett University,/universities/leeds-beckett-university,Europe,United Kingdom,Leeds,https://www.topuniversities.com/sites/default/files/leeds-beckett-university_592560cf2aeae70239af50f2_small.jpg,16.6,418,5,False,False,301+,251+,301+,251+,270,301+,268,301+,223,301+,301+,301+,8.8,10,7.4,23.3,25.9,16.3,27.5,2.9,33.1,1.6,11,19.9
Poznan University of Technology,/universities/poznan-university-technology,Europe,Poland,Poznan,https://www.topuniversities.com/sites/default/files/uniwersytet-ekonomiczny-w-poznaniu_592560e59988f300e2321bdb_small.jpg,16.6,419,,False,False,194,251+,301+,251+,301+,301+,301+,182,301+,293,301+,301+,51.8,16.3,4.4,17.7,3.9,20.5,3,35,2.4,19.1,20.3,12.1
University of Deusto,/universities/university-deusto,Europe,Spain,Bilbao,https://www.topuniversities.com/sites/default/files/university-of-deusto_592560cf2aeae70239af57cd_small.jpg,16.5,420,,False,False,301+,251+,n/a,157,n/a,301+,301+,301+,n/a,301+,301+,240,10.1,12.9,n/a,46,n/a,20.9,11.7,8.6,n/a,5.5,6.3,29
Roskilde University,/universities/roskilde-university,Europe,Denmark,Roskilde ,https://www.topuniversities.com/sites/default/files/roskilde-university_592560cf2aeae70239af4f73_small.jpg,16.4,421,,False,False,100,251+,n/a,251+,n/a,301+,301+,=194,n/a,301+,301+,301+,72.6,11.9,n/a,19.5,n/a,11.1,19.2,30.5,n/a,7.8,16.6,11.7
University of Applied Sciences of Southern Switzerland,/universities/university-applied-sciences-southern-switzerland,Europe,Switzerland,Manno,https://www.topuniversities.com/sites/default/files/SUPSI.jpg,16.4,422,,False,False,270,251+,n/a,251+,n/a,301+,23,=157,n/a,=184,301+,301+,36.6,2.6,n/a,4,n/a,7.8,96.5,39.5,n/a,33.9,4.8,5.2
University of Stavanger,/universities/university-stavanger,Europe,Norway,Stavanger,https://www.topuniversities.com/sites/default/files/220318112016am666420stavanger-48x48.jpg,16.4,423,,False,False,n/a,251+,n/a,251+,n/a,n/a,301+,301+,n/a,=268,276,295,n/a,15.8,n/a,18.2,n/a,n/a,19.2,5.8,n/a,23.6,45.8,21.6
London Metropolitan University,/universities/london-metropolitan-university,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/london-metropolitan-university_358_small.jpg,16.3,424,,False,False,301+,251+,301+,251+,43,301+,301+,301+,160,301+,301+,237,8.7,12.2,1.9,13,74.4,7.9,6.8,9,55.2,1.4,3.1,29.6
Tomas Bata University in Zlin,/universities/tomas-bata-university-zlin,Europe,Czechia,Zlin,https://www.topuniversities.com/sites/default/files/tomas-bata-university-in-zlin_1234_small.jpg,16.3,425,,False,False,n/a,251+,301+,202,210,n/a,301+,104,n/a,23,301+,301+,n/a,10.1,2.1,36.3,36.6,n/a,2.7,56.4,n/a,93.8,5.3,14.3
Universitat de Lleida (University of Lleida),/universities/universitat-de-lleida-university-lleida,Europe,Spain,Lleida,https://www.topuniversities.com/sites/default/files/210910085933am232005M-UdL-48x48.jpg,16.3,426,,False,False,280,251+,n/a,251+,301+,279,301+,128,301+,126,301+,301+,34.8,12.9,n/a,5.5,20,26.8,20.4,48.2,3.2,53.9,19.1,6.3
University of Beira Interior,/universities/university-beira-interior,Europe,Portugal,Covilhã,https://www.topuniversities.com/sites/default/files/university-of-beira-interior_592560cf2aeae70239af504c_small.jpg,16.3,427,,False,False,301+,251+,n/a,251+,301+,129,301+,37,301+,150,301+,301+,19.7,8.6,n/a,7.8,5.3,49.1,20.5,87.4,6.2,45.6,21.9,7.4
Constructor University,/universities/constructor-university,Europe,Germany,Bremen,https://www.topuniversities.com/sites/default/files/221205121715pm115661New-Logo-48x48.jpg,16.2,428,,False,False,14,251+,n/a,251+,n/a,287,238,301+,n/a,301+,301+,301+,99.9,7.1,n/a,3.4,n/a,25.6,35.6,5.4,n/a,5.8,24.4,8.7
Technical University of Kosice,/universities/technical-university-kosice,Europe,Slovakia,Košice,https://www.topuniversities.com/sites/default/files/technical-university-of-kosice_592560cf2aeae70239af5a56_small.jpg,16.1,429,,False,False,263,251+,301+,251+,190,218,301+,301+,301+,=219,301+,268,37.7,16.4,3.2,9.3,40.1,37.1,1.1,10.2,1.6,28.5,8.8,24.7
Universidad Europea,/universities/universidad-europea,Europe,Spain,Madrid,https://www.topuniversities.com/sites/default/files/211015091633am774018ue-madrid-logo-positive-rgb-48x48.jpg,16.1,430,4,False,False,116,251+,n/a,251+,44,301+,301+,301+,301+,141,301+,301+,68.8,6.4,n/a,15.1,74.4,5.5,11,8.6,11.4,49.6,2.6,10.4
