University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Value for Money Rank,Thought Leadership Rank,Diversity Rank,Alumni Outcomes Rank,Employability Rank,Value for Money Score,Thought Leadership Score,Diversity Score,Alumni Outcomes Score,Employability Score
George Washington,/universities/george-washington-university/george-washington-university-school-business,North America,United States,"Washington, D.C",https://www.topuniversities.com/sites/default/files/profiles/logos/george-washington-university-school-of-business_14479_small.png,53,73,,False,False,111-120,101-110,=75,35,111-120,56.4,47,66.3,75.8,38.3
"Sydney Business School, University of Wollongong",/universities/university-wollongong/sydney-business-school-university-wollongong,Oceania,Australia,"Wollongong, Dubai",https://www.topuniversities.com/sites/default/files/profiles/logos/sydney-business-school_592560cf2aeae70239af57aa_small.jpg,52.8,74,,False,False,19,131-140,31,121-130,131-140,92.6,41.1,78.4,45.8,33.7
Babson College (Olin),/universities/babson-college-fw-olin-graduate-school-business,North America,United States,Wellesley (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/220404025748pm977408BabsonWordmark-S-green-jpg-logo-48x48.jpg,52.7,75,,False,False,=62,131-140,151+,37,111-120,74,40.1,43.7,74.8,38.5
American (Kogod),/universities/american-university/kogod-school-business,North America,United States,"Washington, D.C",https://www.topuniversities.com/sites/default/files/profiles/logos/kogod-school-of-business_592560cf2aeae70239af56c5_small.jpg,52.1,76,,False,False,=51,151+,151+,60,=92,78.5,35.5,43.6,64.2,44.2
Bath School of Management,/universities/university-bath/university-bath-school-management,Europe,United Kingdom,Bath,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-bath-school-of-management_592560cf2aeae70239af55b4_small.jpg,52,77,,False,False,151+,=58,9,=72,67,25.6,57.6,90.9,60.5,51
Birmingham Business School,/universities/university-birmingham/birmingham-business-school,Europe,United Kingdom,Birmingham,https://www.topuniversities.com/sites/default/files/profiles/logos/birmingham-business-school_592560cf2aeae70239af55b3_small.jpg,52,78,,False,False,151+,=50,=34,88,77,41.1,59.5,76.8,54.3,48
Florida International ,/universities/florida-international-university/chapman-graduate-school-business-fiu,North America,United States,Miami (FL),https://www.topuniversities.com/sites/default/files/profiles/logos/chapman-graduate-school-of-business-fiu_592560cf2aeae70239af5568_small.jpg,52,79,,False,False,61,101-110,121-130,101-110,90,74.3,47.3,53.8,50.1,44.7
Shanghai Advanced Institute of Finance at SJTU,/universities/shanghai-jiao-tong-university/antai-college-economics-management,Asia,China (Mainland),"Shanghai, Shenzhen, Singapore",https://www.topuniversities.com/sites/default/files/profiles/logos/antai-college-of-economics-management_592560cf2aeae70239af58a3_small.jpg,52,80,,False,False,151+,60,101-110,82,49,34.5,57,58.2,56.7,58.8
KEDGE Business School,/universities/kedge-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/kedge-business-school_592560e19988f300e2320ed3_small.jpg,51.8,81,,False,False,131-140,121-130,25,93,60,49.8,42,81,53.3,52.7
Arizona State (Carey),/universities/arizona-state-university/w-p-carey-school-business,North America,United States,Tempe (AZ),https://www.topuniversities.com/sites/default/files/profiles/logos/w.-p.-carey-school-of-business_592560cf2aeae70239af56c6_small.jpg,51.7,82,,False,False,=94,79,151+,50,111-120,65,52,42.3,68,38.6
