University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employer Reputation Rank,Faculty Student Ratio Rank,Web Impact Rank,Academic Reputation Rank,Faculty Staff with PhD Rank,International Research Network Rank,Citations per Paper Rank,Papers per Faculty Rank,Employer Reputation Score,Faculty Student Ratio Score,Web Impact Score,Academic Reputation Score,Faculty Staff with PhD Score,International Research Network Score,Citations per Paper Score,Papers per Faculty Score
St. George`s University,/universities/st-georges-university,Latin America,Grenada,True Blue,,n/a,207,,FALSE,FALSE,151+,2,142,151+,n/a,201+,161,201+,17.6,100,23.8,6,n/a,5,23.6,3.8
Universidad Antonio Narino ,/universities/universidad-antonio-narino,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-antonio-narino-_592560cf2aeae70239af5151_small.jpg,n/a,208,,FALSE,FALSE,151+,141,201+,151+,201+,154,52,201+,9.5,41,7.1,12.4,16.2,33.7,62.8,6.7
Universidad Autónoma de Aguascalientes (UAA),/universities/universidad-autonoma-de-aguascalientes-uaa,Latin America,Mexico,Aguascalientes,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-aguascalientes-uaa_592560cf2aeae70239af5496_small.jpg,n/a,209,,FALSE,FALSE,151+,70,194,151+,201+,149,201+,201+,6.2,65.9,17.3,14.5,15,35.2,3.8,6.2
Universidad Autónoma de Campeche (UACAM),/universities/universidad-autonoma-de-campeche-uacam,Latin America,Mexico,Campeche,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-campeche-uac_592560cf2aeae70239af5498_small.jpg,n/a,210,,FALSE,FALSE,151+,68,201+,151+,200,201+,146,201+,9.6,69,9.8,8,18.7,9.8,26.2,6.8
Universidad Autónoma de Chihuahua (UACH),/universities/universidad-autonoma-de-chihuahua-uach,Latin America,Mexico,Chihuahua,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-chihuahua-uach_592560cf2aeae70239af549b_small.jpg,n/a,211,,FALSE,FALSE,151+,64,201+,151+,201+,201+,168,201+,2.5,70.3,7.8,13.6,16.4,14.4,22.3,4.6
Universidad Autónoma de Guadalajara (UAG),/universities/universidad-autonoma-de-guadalajara-uag,Latin America,Mexico,Guadalajara,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-guadalajara-uag_592560cf2aeae70239af54a0_small.jpg,n/a,212,5,FALSE,FALSE,147,84,201+,121,201+,201+,201+,201+,22,60.2,7.3,27.5,9.4,4.8,6.5,2.2
Universidad Autónoma de Zacatecas (UAZ),/universities/universidad-autonoma-de-zacatecas-uaz,Latin America,Mexico,Zacatecas,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-zacatecas-uaz_592560cf2aeae70239af54aa_small.jpg,n/a,213,,FALSE,FALSE,151+,193,201+,151+,125,189,201+,201+,19.6,27.8,16.5,10.9,40.7,25,11.8,8.3
Universidad Autónoma del Caribe,/universities/universidad-autonoma-del-caribe,Latin America,Colombia,Barranquilla,https://www.topuniversities.com/sites/default/files/universidad-autnoma-del-caribe_592560cf2aeae70239af5939_small.jpg,n/a,214,,FALSE,FALSE,151+,120,201+,151+,201+,201+,23,201+,6.7,45.8,7,5,11.2,11.9,85.4,7.8
Universidad Bernardo O'Higgins,/universities/universidad-bernardo-ohiggins,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/universidad-bernardo-ohiggins_5aa25b5e6ee6c81c63496cfc_small.jpg,n/a,215,,FALSE,FALSE,151+,196,201+,151+,130,124,201+,83,13.2,27.3,8.2,18.1,39.1,41.4,2.4,40.4
"Universidad Católica ""Nuestra Señora de la Asunción""",/universities/universidad-catolica-nuestra-senora-de-la-asuncion,Latin America,Paraguay,Asunción,https://www.topuniversities.com/sites/default/files/universidad-catlica-nuestra-seora-de-la-asuncin_592560cf2aeae70239af54bd_small.jpg,n/a,216,,FALSE,FALSE,98,54,201+,151+,n/a,201+,201+,201+,35.7,75.3,3.7,12.2,n/a,11.9,1.4,1.5
