University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employability Rank,Diversity Rank,Entrepreneurship & Alumni Outcomes Rank,Return On Investment Rank,Thought Leadership Rank,Employability Score,Diversity Score,Entrepreneurship & Alumni Outcomes Score,Return On Investment Score,Thought Leadership Score
Telfer School of Management,/universities/university-ottawa/university-ottawa-telfer-school-management,North America,Canada,Ottawa,https://www.topuniversities.com/sites/default/files/profiles/logos/telfer-school-of-management-university-of-ottawa_14563_small.jpg,36.6,238,,False,False,151-200,141-150,201-250,251+,151-200,40.9,62.1,31.7,32.7,46.5
Texas Christian (Neely),/universities/neeley-school-business-tcu,North America,United States,Fort Worth (TX),https://www.topuniversities.com/sites/default/files/profiles/logos/the-neeley-school-of-business-tcu_592560cf2aeae70239af5700_small.jpg,40.3,239,,False,False,151-200,201-250,251+,151-200,131-140,35.5,52,31.1,61.1,51.4
United International Business Schools,/universities/united-international-business-school-uibs,Europe,Switzerland,Amsterdam,https://www.topuniversities.com/sites/default/files/profiles/logos/united-international-business-schools-uibs_592560e29988f300e23210d2_small.jpg,37.6,240,,False,False,251+,10,251+,=81,251+,23.3,89.4,24,83,22.3
Universidad Complutense de Madrid (UCM),/universities/complutense-university-madrid,Europe,Spain,Madrid,https://www.topuniversities.com/sites/default/files/profiles/logos/complutense-university-of-madrid_592560cf2aeae70239af4bff_small.jpg,36.6,241,,False,False,251+,3,201-250,201-250,201-250,26.4,95.6,36.1,46.9,40.2
Universitas Gadjah Mada,/universities/gadjah-mada-university/faculty-economics-business-universitas-gadjah-mada,Asia,Indonesia,"Yogyakarta, Jakarta",https://www.topuniversities.com/sites/default/files/profiles/logos/faculty-of-economics-and-business-universitas-gadjah-mada_5f0ec3ee5c52f32f0b3dc405_small.jpg,36.1,242,,False,False,201-250,111-120,77,251+,141-150,31,67.1,55.2,28.2,49.7
University of California (Riverside),/universities/university-california-riverside/university-california-riverside-gary-anderson-graduate-school-management,North America,United States,Los Angeles (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/230828065323pm713813AGSM-Full-Logo-RGB-Vertical-48x48.jpg,37.2,243,,False,False,151-200,151-200,151-200,251+,201-250,38.4,58.9,41.9,39,40.7
University of Indonesia,/universities/universitas-indonesia,Asia,Indonesia,Jakarta,https://www.topuniversities.com/sites/default/files/profiles/logos/universitas-indonesia_290_small.jpg,34.1,244,,False,False,251+,201-250,=50,151-200,251+,22.1,54.8,61.5,59,23.9
University of San Diego,/universities/university-san-diego/knauss-school-business-university-san-diego,North America,United States,San Diego (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/230126074701pm579209200X200-logo-48x48.jpg,35,245,,False,False,151-200,201-250,=87,251+,251+,36.6,54.8,52.9,34.8,30.5
Utah (Eccles),/universities/university-utah/david-eccles-school-business,North America,United States,Salt Lake City (UT),https://www.topuniversities.com/sites/default/files/profiles/logos/david-eccles-school-of-business_592560e19988f300e2320f8d_small.jpg,35.5,246,,False,False,251+,251+,151-200,131-140,151-200,25.9,35.7,38.6,68.7,43.7
Willamette (Atkinson),/universities/willamette-university/willamette-university,North America,United States,Salem (OR),https://www.topuniversities.com/sites/default/files/profiles/logos/willamette-university_592560cf2aeae70239af58c3_small.jpg,40.4,247,,False,False,141-150,201-250,251+,141-150,251+,43.2,51.6,29.7,65,27.9
