University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,International Research Network Rank,Academic Reputation Rank,H-index Citations Rank,Employer Reputation Rank,Citations per Paper Rank,International Research Network Score,Academic Reputation Score,H-index Citations Score,Employer Reputation Score,Citations per Paper Score
"St George's, University of London",/universities/st-georges-university-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/st-georges-university-of-london_1657_small.jpg,58.8,379,,False,False,94,401+,134,401+,74,72.1,45.3,68,25,86.6
University of Nebraska - Lincoln,/universities/university-nebraska-lincoln,North America,United States,Lincoln,https://www.topuniversities.com/sites/default/files/university-of-nebraska-lincoln_819_small.jpg,58.8,380,,False,False,340,303,401+,279,390,56.5,61.8,42.7,58.1,70.4
Mansoura University,/universities/mansoura-university,Africa,Egypt,Mansoura ,https://www.topuniversities.com/sites/default/files/mansoura-university_592560cf2aeae70239af4f3c_small.jpg,58.7,381,4,False,False,308,364,299,283,401+,58.7,59,56.3,57.9,61.1
Università Vita-Salute San Raffaele,/universities/universita-vita-salute-san-raffaele,Europe,Italy,Milan,https://www.topuniversities.com/sites/default/files/universit-vita-salute-san-raffaele_592560cf2aeae70239af5016_small.jpg,58.6,382,,False,False,393,355,299,401+,285,52.5,59.3,56.3,30.3,76.9
Kaohsiung Medical University,/universities/kaohsiung-medical-university,Asia,Taiwan,Kaohsiung City,https://www.topuniversities.com/sites/default/files/kaohsiung-medical-university_23018_small.jpg,58.5,383,,False,False,401+,258,401+,314,401+,41.4,64.1,48.6,56,66.9
Tampere University,/universities/tampere-university,Europe,Finland,Tampere,https://www.topuniversities.com/sites/default/files/tampere-university_5bbf14847d023f5bc849ec9a_small.jpg,58.5,384,,False,False,295,401+,263,401+,392,59.3,54.3,59.3,49.3,70.2
"University of California, Riverside",/universities/university-california-riverside,North America,United States,Riverside,https://www.topuniversities.com/sites/default/files/230328051801pm377649UCR-200x200-48x48.jpg,58.5,385,,False,False,399,335,401+,298,398,52.2,60.3,47.7,56.7,69.8
University of Delhi,/universities/university-delhi,Asia,India,New Delhi,https://www.topuniversities.com/sites/default/files/university-of-delhi_156_small.jpg,58.5,386,,False,False,382,277,401+,267,401+,53.3,62.9,46.8,58.6,63.7
Wayne State University,/universities/wayne-state-university,North America,United States,Detroit,https://www.topuniversities.com/sites/default/files/wayne-state-university_592560cf2aeae70239af51d1_small.jpg,58.5,387,,False,False,345,401+,263,401+,192,56.4,51.4,59.3,41.3,81.6
Kobe University,/universities/kobe-university,Asia,Japan,Kobe City,https://www.topuniversities.com/sites/default/files/kobe-university_320_small.jpg,58.4,388,,False,False,401+,268,401+,374,401+,41.4,63.4,49.4,52.7,68.9
Peking Union Medical College,/universities/peking-union-medical-school,False,False,False,https://www.topuniversities.com/sites/default/files/Webp.net-resizeimage-64-48x48.jpg,58.4,389,,False,False,401+,295,401+,401+,217,40.5,62.2,49,35.5,80.6
University of Wollongong,/universities/university-wollongong,Oceania,Australia,Wollongong,https://www.topuniversities.com/sites/default/files/university-of-wollongong_680_small.jpg,58.4,390,6,False,False,321,366,401+,298,401+,58,58.9,48.1,56.7,68.5
Aga Khan University,/universities/aga-khan-university,Asia,Pakistan,Karachi,https://www.topuniversities.com/sites/default/files/aga-khan-university_592560cf2aeae70239af532d_small.jpg,58.3,391,,False,False,182,401+,243,324,401+,66,55.2,60.7,55.7,59.7
Florida State University,/universities/florida-state-university,North America,United States,Tallahassee,https://www.topuniversities.com/sites/default/files/florida-state-university_211_small.jpg,58.3,392,,False,False,401+,253,401+,351,401+,43,64.4,46.3,54.1,67.9
Hanyang University,/universities/hanyang-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/hanyang-university_250_small.jpg,58.3,393,,False,False,401+,268,401+,93,401+,45.5,63.4,42.2,70.8,64.4
King Abdullah University of Science & Technology (KAUST),/universities/king-abdullah-university-science-technology-kaust,Asia,Saudi Arabia,Thuwal,https://www.topuniversities.com/sites/default/files/king-abdullah-university-of-science-technology_2137_small.jpg,58.3,394,,False,False,360,244,401+,236,401+,55.3,65,41.6,60.7,61.7
University of Ulsan ,/universities/university-ulsan,Asia,South Korea,Ulsan,https://www.topuniversities.com/sites/default/files/university-of-ulsan_1111_small.jpg,58.3,395,,False,False,401+,401+,222,401+,167,49.6,53.1,61.7,32.2,82.7
University of Natural Resources and Applied Life Sciences Vienna ,/universities/university-natural-resources-applied-life-sciences-vienna,Europe,Austria,Vienna,https://www.topuniversities.com/sites/default/files/university-of-natural-resources-and-applied-life-sciences-vienna_1241_small.jpg,58.3,396,,False,False,103,197,401+,401+,401+,71.4,68.2,36.5,49.1,58.3
City University of New York,/universities/city-university-new-york,North America,United States,New York City,https://www.topuniversities.com/sites/default/files/city-university-of-new-york_149_small.jpg,58.2,397,,False,False,313,401+,363,213,356,58.6,53,51.8,62,73.1
Chiba University,/universities/chiba-university,Asia,Japan,Chiba City,https://www.topuniversities.com/sites/default/files/chiba-university_119_small.jpg,58.1,398,,False,False,401+,306,401+,401+,388,46.4,61.7,48.6,49.5,70.5
Université Paris 13 Nord,/universities/universite-paris-13-nord,Europe,France,Villetaneuse,https://www.topuniversities.com/sites/default/files/universit-paris-13-nord_592560cf2aeae70239af51dc_small.jpg,58.1,399,,False,False,204,401+,249,401+,222,64.7,46.6,60.1,48.9,80.2
Central South University,/universities/central-south-university,Asia,China (Mainland),Changsha Shi,https://www.topuniversities.com/sites/default/files/central-south-university_871_small.jpg,58,400,,False,False,401+,401+,189,401+,281,39.8,53.2,63.7,45.5,77.2
University of Bath,/universities/university-bath,Europe,United Kingdom,Bath,https://www.topuniversities.com/sites/default/files/university-of-bath_47_small.jpg,58,401,,False,False,380,349,401+,155,401+,53.6,59.6,44.8,65.7,66.5
University of Hawaiʻi at Mānoa,/universities/university-hawaii-manoa,North America,United States,Honolulu,https://www.topuniversities.com/sites/default/files/university-of-hawaii-at-maoa_255_small.jpg,58,402,,False,False,317,401+,295,160,335,58.4,48.6,56.6,65.5,74.1
Yeshiva University,/universities/yeshiva-university,North America,United States,New York City,https://www.topuniversities.com/sites/default/files/the-katz-school-at-yeshiva-university_685_small.jpg,58,403,,False,False,295,401+,122,401+,49,59.3,43.4,69.3,31.6,88.4
Aalborg University,/universities/aalborg-university,Europe,Denmark,Aalborg,https://www.topuniversities.com/sites/default/files/aalborg-university_1262_small.jpg,n/a,404,5,False,False,401+,401+,295,331,301,50.1,49.8,56.6,55.2,76
Ankara Üniversitesi,/universities/ankara-universitesi,Asia,Türkiye,Ankara,https://www.topuniversities.com/sites/default/files/ankara-niversitesi_592560cf2aeae70239af50a5_small.jpg,n/a,405,,False,False,223,349,401+,303,401+,63.5,59.6,45.3,56.4,62.7
Carnegie Mellon University,/universities/carnegie-mellon-university,North America,United States,Pittsburgh,https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_small.jpg,n/a,406,,False,False,401+,401+,401+,72,401+,46.3,55,45.3,73.8,63.8
Delft University of Technology,/universities/delft-university-technology,Europe,Netherlands,Delft,https://www.topuniversities.com/sites/default/files/delft-university-of-technology_155_small.jpg,n/a,407,,False,False,349,401+,401+,51,401+,56,52.6,42.7,75.8,68.1
Durham University,/universities/durham-university,Europe,United Kingdom,Durham,https://www.topuniversities.com/sites/default/files/durham-university_170_small.jpg,n/a,408,,False,False,401+,401+,390,175,401+,45.4,55.3,50.2,64.8,64.2
Hiroshima University,/universities/hiroshima-university,Asia,Japan,Higashihiroshima City,https://www.topuniversities.com/sites/default/files/hiroshima-university_264_small.jpg,n/a,409,,False,False,401+,251,401+,401+,401+,45.3,64.6,45.3,49.4,67.2
Huazhong Agricultural University,/universities/huazhong-agricultural-university,Asia,China (Mainland),Wuhan,https://www.topuniversities.com/sites/default/files/huazhong-agricultural-university_2047_small.jpg,n/a,410,,False,False,401+,401+,359,401+,313,41,56.1,52.2,35.9,75.4
