University Name,Path,Absolute Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Citations per Faculty Rank,International Students Ratio Rank,Faculty Student Ratio Rank,International Faculty Ratio Rank,Academic Reputation Rank,Sustainability Rank,International Research Network Rank,Employment Outcomes Rank,Employer Reputation Rank,Citations per Faculty Score,International Students Ratio Score,Faculty Student Ratio Score,International Faculty Ratio Score,Academic Reputation Score,Sustainability Score,International Research Network Score,Employment Outcomes Score,Employer Reputation Score
University of Cape Town,/universities/university-cape-town,https://www.topuniversities.com/universities/university-cape-town,Africa,South Africa,Cape Town,https://staging.topuniversities.com/sites/default/files/210830024732pm396697UCTcircular-logo1-CMYK-48x48.jpg,50,171,,FALSE,FALSE,294,563,701+,335,185,50,36,46,170,46.8,19.2,13.8,56.5,45.2,95.6,97.3,95.8,51.8
University of Reading,/universities/university-reading,https://www.topuniversities.com/universities/university-reading,Europe,United Kingdom,Reading,https://staging.topuniversities.com/sites/default/files/university-of-reading_517_small.jpg,49.9,172,,FALSE,FALSE,169,177,701+,214,273,61,142,268,226,65.7,78.6,13.1,86.2,32.2,94,91.7,47.8,41.7
Hokkaido University,/universities/hokkaido-university,https://www.topuniversities.com/universities/hokkaido-university,Asia,Japan,Sapporo,https://staging.topuniversities.com/sites/default/files/hokkaido-university_266_small.jpg,49.8,173,,FALSE,FALSE,485,677,158,613,128,168,365,645,125,26,12.1,76.2,18.7,59,78.1,77.7,15.5,63.3
Curtin University,/universities/curtin-university,https://www.topuniversities.com/universities/curtin-university,Oceania,Australia,Perth,https://staging.topuniversities.com/sites/default/files/curtin-university_150_small.jpg,49.3,174,6,FALSE,FALSE,95,485,701+,49,266,89,96,405,348,84.7,24.3,15.7,100,33.1,90.7,94.2,31,27.7
Universitat Autònoma de Barcelona,/universities/universitat-autonoma-de-barcelona,https://www.topuniversities.com/universities/universitat-autonoma-de-barcelona,Europe,Spain,Barcelona,https://staging.topuniversities.com/sites/default/files/240404114804am190222logo-uab-qs-48x48.jpg,49.2,175,,FALSE,FALSE,206,595,701+,620,105,114,116,472,263,59.5,16.5,11.5,18.5,64,86.7,93.1,24,35.8
McMaster University,/universities/mcmaster-university,https://www.topuniversities.com/universities/mcmaster-university,North America,Canada,Hamilton,https://staging.topuniversities.com/sites/default/files/mcmaster-university_397_small.jpg,49,176,,FALSE,FALSE,380,263,215,136,215,78,284,255,276,35.6,56.7,63.8,96.2,39.5,91.9,82.6,49.9,34.2
Washington University in St. Louis,/universities/washington-university-st-louis,https://www.topuniversities.com/universities/washington-university-st-louis,North America,United States,St. Louis,https://staging.topuniversities.com/sites/default/files/washington-university-in-st.-louis_668_small.jpg,49,177,,FALSE,FALSE,283,201,29,285,241,114,270,396,601+,47.7,72.4,99.7,69.5,36.3,86.7,83.6,31.9,12
"University of California, Santa Barbara (UCSB)",/universities/university-california-santa-barbara-ucsb,https://www.topuniversities.com/universities/university-california-santa-barbara-ucsb,North America,United States,Santa Barbara,https://staging.topuniversities.com/sites/default/files/university-of-california-santa-barbara-ucsb_91_small.jpg,48.9,178,,FALSE,FALSE,37,583,701+,261,154,456,466,701+,432,97.8,17.2,7.7,75.4,52.6,28.4,71.2,7.9,21.3
"The University of Newcastle, Australia (UON)",/universities/university-newcastle-australia-uon,https://www.topuniversities.com/universities/university-newcastle-australia-uon,Oceania,Australia,Callaghan,https://staging.topuniversities.com/sites/default/files/the-university-of-newcastle-australia-uon_449_small.jpg,48.7,179,,FALSE,FALSE,70,487,537,89,312,74,289,670,392,91.7,24.2,28.7,99.9,28.3,92.4,82,14.8,24.5
Universidad de los Andes,/universities/universidad-de-los-andes,https://www.topuniversities.com/universities/universidad-de-los-andes,Latin America,Colombia,Bogotá,https://staging.topuniversities.com/sites/default/files/universidad-de-los-andes_592560cf2aeae70239af4bf6_small.jpg,48.7,180,,FALSE,FALSE,701+,701+,701+,560,100,155,692,26,54,5.9,1.9,14.2,22.8,67.7,80,55.2,98.2,88.4
Universiti Teknologi Malaysia ,/universities/universiti-teknologi-malaysia,https://www.topuniversities.com/universities/universiti-teknologi-malaysia,Asia,Malaysia,Skudai,https://staging.topuniversities.com/sites/default/files/universiti-teknologi-malaysia_387_small.jpg,48.5,181,5,FALSE,FALSE,347,142,337,683,166,305,279,600,134,40.5,86.9,46,14.1,48.6,52.1,82.9,18,59.6
Waseda University,/universities/waseda-university,https://www.topuniversities.com/universities/waseda-university,Asia,Japan,Tokyo,https://staging.topuniversities.com/sites/default/files/waseda-university_592560cf2aeae70239af4d1c_small.jpg,48.5,182,,FALSE,FALSE,701+,445,616,507,122,282,533,106,30,3.8,28,23.5,27.9,60.7,56.1,66.4,83.7,96.1
Hamad bin Khalifa University,/universities/hamad-bin-khalifa-university,https://www.topuniversities.com/universities/hamad-bin-khalifa-university,Asia,Qatar,Doha,https://staging.topuniversities.com/sites/default/files/230216033433pm754356HBKU-Logo-48x48.jpg,48.3,183,,FALSE,FALSE,8,10,20,9,601+,701+,417,701+,601+,100,100,99.9,100,12.9,2.6,74.3,6,4.7
University of York,/universities/university-york,https://www.topuniversities.com/universities/university-york,Europe,United Kingdom,York,https://staging.topuniversities.com/sites/default/files/university-of-york_689_small.jpg,48.2,184,,FALSE,FALSE,353,184,364,204,201,29,128,480,313,40.1,75.6,43,87.8,42.9,97.4,92.5,23.5,30.1
Tecnológico de Monterrey,/universities/tecnologico-de-monterrey,https://www.topuniversities.com/universities/tecnologico-de-monterrey,Latin America,Mexico,Monterrey,https://staging.topuniversities.com/sites/default/files/instituto-tecnolgico-y-de-estudios-superiores-de-monterrey_592560cf2aeae70239af4cd6_small.jpg,48.1,185,6,FALSE,FALSE,701+,701+,223,589,149,291,670,43,47,2.4,10.6,62.5,20.8,53.8,54.4,56.6,96.1,91.4
Cardiff University,/universities/cardiff-university,https://www.topuniversities.com/universities/cardiff-university,Europe,United Kingdom,Cardiff,https://staging.topuniversities.com/sites/default/files/cardiff-university_592560cf2aeae70239af4ae6_small.jpg,47.6,186,,FALSE,FALSE,437,219,441,229,171,46,132,584,213,30,67.7,36.1,82.8,46.8,96,92.3,18.9,43.2
École Normale Supérieure de Lyon,/universities/ecole-normale-superieure-de-lyon,https://www.topuniversities.com/universities/ecole-normale-superieure-de-lyon,Europe,France,Lyon,https://staging.topuniversities.com/sites/default/files/cole-normale-suprieure-de-lyon_175_small.jpg,47.5,187,,FALSE,FALSE,59,684,49,329,296,701+,482,694,522,93.5,11.7,97,59,29.8,6.6,70.3,14,16.3
Keio University,/universities/keio-university,https://www.topuniversities.com/universities/keio-university,Asia,Japan,Tokyo,https://staging.topuniversities.com/sites/default/files/keio-university_592560cf2aeae70239af4bbe_small.jpg,47.4,188,,FALSE,FALSE,701+,701+,257,701+,151,271,658,69,46,5.1,10.2,57.2,9.4,53,59,57.5,91.4,91.6
University of Ottawa,/universities/university-ottawa,https://www.topuniversities.com/universities/university-ottawa,North America,Canada,Ottawa,https://staging.topuniversities.com/sites/default/files/university-of-ottawa_475_small.jpg,47.3,189,,FALSE,FALSE,106,181,701+,179,340,72,119,323,406,81.3,77.8,3.5,91.7,26.2,92.9,93,39.8,23.3
