University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Value for Money Rank,Diversity Rank,Thought Leadership Rank,Employability Rank,Alumni Outcomes Rank,Value for Money Score,Diversity Score,Thought Leadership Score,Employability Score,Alumni Outcomes Score
,,,,,,50.6,81,,False,False,141-150,58+,98,77,=78,50.3,75.6,49.5,52.2,53.3
Wollongong (Sydney),/universities/university-wollongong/sydney-business-school-university-wollongong,Oceania,Australia,"Wollongong, Dubai",https://www.topuniversities.com/sites/default/files/profiles/logos/sydney-business-school_592560cf2aeae70239af57aa_small.jpg,50.5,82,,False,False,20,71+,121-130,131-140,101-110,93,72.8,41.6,38.3,40.7
Arizona State (Carey),/universities/arizona-state-university/w-p-carey-school-business,North America,United States,Tempe (AZ),https://www.topuniversities.com/sites/default/files/profiles/logos/w.-p.-carey-school-of-business_592560cf2aeae70239af56c6_small.jpg,50.2,83,,False,False,43,151+,89,141-150,=40,82.1,38.4,51.4,35.3,71
UPF Barcelona School of Management,/universities/universitat-pompeu-fabra/upf-barcelona-school-management,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/upf-barcelona-school-of-management_592560cf2aeae70239af5913_small.jpg,50.2,84,,False,False,101-110,111+,54,89,101-110,57.8,58.8,62.6,48.7,43.3
Wits Business School,/universities/university-witwatersrand/wits-business-school,Africa,South Africa,Johannesburg,https://www.topuniversities.com/sites/default/files/profiles/logos/wits-business-school_592560df9988f300e2320a2d_small.jpg,49.7,85,,False,False,141-150,121+,141-150,80,18,46.7,56.3,37.5,51.3,84.1
Florida (Warrington),/universities/university-florida/university-florida-warrington-college-business,North America,United States,Gainesville (FL),https://www.topuniversities.com/sites/default/files/profiles/logos/UFMBA-200x200-whitebg-48x48.jpg,49.6,86,,False,False,111-120,151+,101-110,111-120,19,56.3,47.9,48.6,41.9,83
ESIC Business & Marketing School,/universities/esic,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/Logo-ESIC-200x200-1-48x48.jpg,49.4,87,,False,False,37,64+,151+,92,131-140,84.7,74.1,34.3,48.2,31.8
Bayes Business School,/universities/city-university-london/bayes-business-school,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/profiles/logos/210901094104am941328BayesBusinessSchool-FullLogo-RGB-48x48.jpg,49.3,88,,False,False,151+,47+,41,121-130,56,36.3,79.5,70.4,39.5,63.7
University of Technology Sydney Business School,/universities/university-technology-sydney/uts-business-school,Oceania,Australia,Sydney,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-technology-sydney_592560cf2aeae70239af58ee_small.jpg,49.2,89,,False,False,77,65+,111-120,111-120,90,68.5,74,43.8,43.9,49
Institut Mines-Telecom Business School,/universities/institut-mines-telecom-business-school,Europe,France,"Evry,  Paris",https://www.topuniversities.com/sites/default/files/institut-mines-tlcom-business-school_592560cf2aeae70239af59ad_medium_0.jpg,49.1,90,,False,False,78,7+,121-130,81,151+,68.2,97.6,41.1,51.2,20
Nottingham University Business School,/universities/university-nottingham/nottingham-university-business-school,Europe,United Kingdom,Nottingham,https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-nottingham-business-school_5171_small.jpg,48.8,91,,False,False,151+,69+,57,74,76,29.7,73.2,62,52.9,53.5
